Timestamp,Activity,Valence,Arousal,Dominance,Progress,Status,Notes
1570798053,,,,,,POPUP_OPENED,
1570798074,Coding,4,3,5,Average,POPUP_CLOSED,
1570801693,,,,,,POPUP_OPENED,
1570801708,Bugfixing,4,1,5,Below average,POPUP_CLOSED,
1570805310,,,,,,POPUP_OPENED,
1570805323,Coding,4,3,5,Average,POPUP_CLOSED,
1570808935,,,,,,POPUP_OPENED,
1570808949,Bugfixing,5,2,5,Below average,POPUP_CLOSED,
1571039001,,,,,,POPUP_OPENED,
1571039030,Other,4,3,5,Above average,POPUP_CLOSED,Migrating to a new server after the old one broke.
1571046039,,,,,,POPUP_OPENED,
1571046062,Just arrived,3,4,3,Below average,POPUP_CLOSED,Just got back from weekly meeting.
1571128322,,,,,,POPUP_OPENED,
1571128347,Networking,2,5,4,Above average,POPUP_CLOSED,Still resolving server issues.
1571132923,,,,,,POPUP_OPENED,
1571132957,Just arrived,5,4,4,Average,POPUP_CLOSED,"Making progress, took a break (just got back now)."
1571136563,,,,,,POPUP_OPENED,
1571136579,Networking,4,4,5,Above average,POPUP_CLOSED,Still fixing server problems.
1571140223,,,,,,POPUP_OPENED,
1571140240,Networking,4,3,4,Above average,POPUP_CLOSED,
1571143867,,,,,,POPUP_OPENED,
1571143898,Networking,4,4,4,Average,POPUP_CLOSED,Frustration that things still aren't working!
1571147729,,,,,,POPUP_OPENED,
1571147744,Networking,4,2,3,Below average,POPUP_CLOSED,
1571151347,,,,,,POPUP_OPENED,
1571151371,Networking,4,3,3,Above average,POPUP_CLOSED,Fixing the final server issues.
1571154978,,,,,,POPUP_OPENED,
1571155002,Administrative tasks,4,4,3,Average,POPUP_CLOSED,"Almost going home, but I'm finishing the final issues."
1571214621,,,,,,POPUP_OPENED,
1571214630,Bugfixing,4,3,3,Average,POPUP_CLOSED,
1571218484,,,,,,POPUP_OPENED,
1571218502,Meeting,4,3,3,Below average,POPUP_CLOSED,Helping others.
1571222131,,,,,,POPUP_OPENED,
1571222141,Bugfixing,4,3,5,Above average,POPUP_CLOSED,
1571226053,,,,,,POPUP_OPENED,
1571226075,Bugfixing,4,3,3,Above average,POPUP_CLOSED,Fixing some easy bugs.
1571230311,,,,,,POPUP_OPENED,
1571230326,Just arrived,5,4,4,Above average,POPUP_CLOSED,Took a break
1571233929,,,,,,POPUP_OPENED,
1571233946,Networking,4,3,3,Average,POPUP_CLOSED,Moving Jenkins server.
1571237615,,,,,,POPUP_OPENED,
1571237633,Networking,4,3,3,Below average,POPUP_CLOSED,Attempting to move Jenkins server.
1571241236,,,,,,POPUP_OPENED,
1571241253,Testing,4,2,4,Average,POPUP_CLOSED,
1571294870,,,,,,POPUP_OPENED,
1571294880,Just arrived,4,3,3,Average,POPUP_CLOSED,
1571298886,,,,,,POPUP_OPENED,
1571298912,Meeting,5,3,3,Below average,POPUP_CLOSED,Good atmosphere!
1571303818,,,,,,POPUP_OPENED,
1571303840,Bugfixing,2,2,2,Average,POPUP_CLOSED,Fixing breaking tests.
1571307533,,,,,,POPUP_OPENED,
1571307557,Meeting,2,2,2,Very low,POPUP_CLOSED,Helping colleagues.
1571311160,,,,,,POPUP_OPENED,
1571311176,Bugfixing,3,2,3,Average,POPUP_CLOSED,
1571314996,,,,,,POPUP_OPENED,
1571315005,Testing,4,3,3,Average,POPUP_CLOSED,
1571318622,,,,,,POPUP_OPENED,
1571318641,Design,4,4,3,Average,POPUP_CLOSED,Discussing the design of a new feature.
1571322243,,,,,,POPUP_OPENED,
1571322260,Design,4,3,4,Average,POPUP_CLOSED,
1571325862,,,,,,POPUP_OPENED,
1571325883,Testing,5,3,4,Average,POPUP_CLOSED,
1571387256,,,,,,POPUP_OPENED,
1571387306,Networking,4,3,3,Average,POPUP_CLOSED,Deploying Jenkins on new server.
1571390925,,,,,,POPUP_OPENED,
1571390937,Networking,4,3,3,Average,POPUP_CLOSED,
1571395261,,,,,,POPUP_OPENED,
1571395274,Meeting,3,3,3,Below average,POPUP_CLOSED,Planning.
1571399253,,,,,,POPUP_OPENED,
1571399274,Helping,4,4,4,Average,POPUP_CLOSED,Working on web server.
1571402878,,,,,,POPUP_OPENED,
1571402895,Bugfixing,1,3,3,Average,POPUP_CLOSED,Getting very annoyed by an annoying bug I can't solve.
1571406497,,,,,,POPUP_OPENED,
1571406512,Testing,5,4,4,Average,POPUP_CLOSED,Solved annoying bug!
1571410121,,,,,,POPUP_OPENED,
1571410135,Other,4,3,3,Average,POPUP_CLOSED,
1571381050,,,,,,POPUP_OPENED,
1571381091,Just arrived,4,3,4,Average,POPUP_CLOSED,"Had some trouble getting the emotion study to work; fortunately, cleaning up everything got it running again"
1571385277,,,,,,POPUP_OPENED,
1571385293,Coding,3,3,3,Average,POPUP_CLOSED,
1571388946,,,,,,POPUP_OPENED,
1571388961,Documentation,4,4,3,Average,POPUP_CLOSED,
1571392568,,,,,,POPUP_OPENED,
1571392592,Documentation,3,3,4,Average,POPUP_CLOSED,Documentation finished. On to finishing final refactoring
1571396819,,,,,,POPUP_OPENED,
1571396829,Coding,4,4,3,Average,POPUP_CLOSED,
1571400432,,,,,,POPUP_OPENED,
1571400443,Coding,3,4,3,Average,POPUP_CLOSED,
1571405006,,,,,,POPUP_OPENED,
1571405017,Coding,3,3,3,Average,POPUP_CLOSED,
1571409177,,,,,,POPUP_OPENED,
1571409201,Testing,4,2,3,Above average,POPUP_CLOSED,"Review went well, though ran into one more problem."
